19/09/20 21:20:17 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
19/09/20 21:20:28 WARN optim.DistriOptimizer$: Input formats NCHW by default, Please set explicitly if needed
19/09/20 21:20:28 WARN optim.DistriOptimizer$: Output formats NC by default, Please set explicitly if needed
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000200.JPEG.jpg , Iteration 0 , takes 0.007034028 s, throughput is 142.17 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000004.JPEG.jpg , Iteration 0 , takes 0.007849489 s, throughput is 127.40 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000739.JPEG.jpg , Iteration 0 , takes 0.006601203 s, throughput is 151.49 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000221.JPEG.jpg , Iteration 0 , takes 0.006566098 s, throughput is 152.30 imgs/sec
19/09/20 21:20:36 INFO inference.Perf$:  ILSVRC2012_val_00000883.JPEG.jpg , Iteration 0 , takes 0.006521013 s, throughput is 153.35 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000813.JPEG.jpg , Iteration 0 , takes 0.006566212 s, throughput is 152.29 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000137.JPEG.jpg , Iteration 0 , takes 0.006531314 s, throughput is 153.11 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000248.JPEG.jpg , Iteration 0 , takes 0.006558215 s, throughput is 152.48 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000419.JPEG.jpg , Iteration 0 , takes 0.006580458 s, throughput is 151.97 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000797.JPEG.jpg , Iteration 0 , takes 0.006546978 s, throughput is 152.74 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000570.JPEG.jpg , Iteration 0 , takes 0.006606822 s, throughput is 151.36 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000713.JPEG.jpg , Iteration 0 , takes 0.006555949 s, throughput is 152.53 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000594.JPEG.jpg , Iteration 0 , takes 0.006492178 s, throughput is 154.03 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000937.JPEG.jpg , Iteration 0 , takes 0.006535301 s, throughput is 153.02 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000745.JPEG.jpg , Iteration 0 , takes 0.006519683 s, throughput is 153.38 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000209.JPEG.jpg , Iteration 0 , takes 0.006499948 s, throughput is 153.85 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000351.JPEG.jpg , Iteration 0 , takes 0.006544028 s, throughput is 152.81 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000345.JPEG.jpg , Iteration 0 , takes 0.006585136 s, throughput is 151.86 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000116.JPEG.jpg , Iteration 0 , takes 0.006542252 s, throughput is 152.85 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000698.JPEG.jpg , Iteration 0 , takes 0.006561791 s, throughput is 152.40 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000581.JPEG.jpg , Iteration 0 , takes 0.006507552 s, throughput is 153.67 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000820.JPEG.jpg , Iteration 0 , takes 0.00654406 s, throughput is 152.81 imgs/sec
19/09/20 21:20:37 INFO inference.Perf$:  ILSVRC2012_val_00000170.JPEG.jpg , Iteration 0 , takes 0.006552878 s, throughput is 152.60 imgs/sec
